id,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,interest_card,description,3H2_1H1,rank_points_alevels,poly_gpa,school_fees_sgporean,school_fees_pr,school_fees_international,tuition_grant_sgporean,tuition_grant_pr,tuition_grant_international,min_course_duration,max_course_duration
1,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,97.5,94,3220,3000,3254,3000,3000,3200,Business,"At Nanyang Technological University, we have the most established, well-regarded accountancy degree programme in Singapore and the region. For more than five decades, we have nurtured forward-looking professionals for leading accountancy roles as partners in accounting firms, ​chief financial officers of major corporations, and managing directors of public and private companies. 

Through our full-time, three-year Bachelor of Accountancy programme, we will broaden your mind with exciting, flexible career options to pursue beyond accounting. By equipping you with data analytics skills, as well as programming and automation know-how, we will also prepare you for the demands and challenges of the digital world.​​​​  ",BBC/C,72.5,3.74,9450,13250,20200,19900,16100,10510,3,5
2,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,94.4,83.3,4479,4833,4562,4833,3600,5000,"Business, Technology","Structured in a comprehensive and well-rounded curriculum, the 4-year undergraduate programme allows you to hone your business management skills and excel at software application or computer engineering and development skills. Designed to suit the speed and efficiency of outstanding individuals who want two degrees from four years of university education, our double degree programmes are set to fully maximise your capabilities. Not only will you have a strong foundation in business and computer engineering or computer science disciplines, you will also have the relevant skills that are much sought after in today’s job market. 

The School of Computer Science and Engineering and the Nanyang Business School have come together to design two hybrid undergraduate Double Degree programmes to meet the challenges of a changing economic landscape. A specialisation in business analytics will equip students to monitor target markets, analyse information and forecast future trends across various industries while formulating ways to improve business strategies, operations and business decisions. ",AAA/C,82.5,3.85,9450,13250,20200,19900,16100,10510,4,6
3,Nanyang Technological University,College of Engineering,Computer Engineering,94.6,94.6,3994,4000,4074,4000,3600,4500,"Engineering, Technology","The School trains this type of engineer with the range of expertise to make use of this new technology in the design of computer systems and their real-time applications in industry and commerce. The School ensures that our B Eng (Computer Engineering) graduates are equipped with the analytical competence of the computer scientist and the development and design skills of the electronics engineer. This is made possible by the unique combination of subjects from these two disciplines within the Computer Engineering course. The broad knowledge of programming and electronics coupled with the specialist skills in software and hardware interfacing make our Computer Engineers immensely suitable for a wide range of professions within the IT industry.

Combining a distinctive fusion of computer engineering and electronics engineering, this programme trains engineers with a range of expertise that makes use of new technologies in the design of computer systems and their real-time applications in industry and commerce.",AAC/B,78.75,3.77,8250,11550,17650,28200,24900,20000,3.5,6
4,Nanyang Technological University,College of Engineering,Information Engineering and Media,90.7,85.3,3934,3970,4006,4000,3600,4350,"Engineering, Technology, Arts","This four-year direct-honours programme is hosted by the School of Electrical and Electronic Engineering, and jointly offered with the School of Art, Design and Media, School of Computer Science and Engineering, and Wee Kim Wee School of Communication and Information. Leveraging on the strengths and expertise of four NTU schools, this multidisciplinary and cross-disciplinary degree programme aims:  To train professional Infocomm engineers with strong technical skills to meet the demand for Infocomm manpower. To train engineers with an exposure to the artistic and creative processes and equip them with an understanding of the needs of the growing media industry. To provide graduates with a strong foundation in mathematics, information sciences and soft-skills for diverse careers and life-long learning. To develop graduates with a good understanding of their roles in society and a strong sense of ethical and professional responsibilities. ",BCC/D,68.75,3.55,8250,11550,17650,28200,24900,20000,3.5,6
5,Nanyang Technological University,College of Engineering,Materials Engineering,82,76,3601,3500,3817,3600,3300,4175,Engineering,"Through this, our graduates value-add to the industry and the future economy by filling the gaps of other engineering disciplines. In addition, Materials Engineers provide expertise in materials for real-world applications that forms the foundation of products and services offered by many industries.

Materials Engineering programme includes coursework, practical hands-on laboratory work, 20 weeks of professional internship and a final year project. The coursework will cover fundamental sciences and mathematics relevant to Materials Science, as well as provide in-depth understanding of key material properties and behaviours. As students advance to Y2 and Y3, materials science, processing, characterisation and applications of materials will be studied in more depth. The industrial attachment takes place in Year 3. In Year 4, students can opt to take advanced topics that lead to specialisations in various areas of materials engineering.",CCD/C,65,3.36,8250,11550,17650,28200,24900,20000,3.5,6
6,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,89.2,73.1,3463,3350,3506,3400,3100,3800,Social Science,Psychology in the School of Social Sciences (SSS) offers scientific and practical training to introduce students to the field of psychology. It introduces students to the professional practices of psychologists and prepares students with the required skills and training for postgraduate studies should they prefer to carry on their education as a psychologist or behavioural researcher.,AAC/C,77.5,3.52,8250,11550,17650,19900,16600,11700,3.5,6
7,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy And Global Affairs,90.2,87.8,3756,3691,3868,3850,3500,4345,Social Science,"Public Policy and Global Affairs (PPGA) is an innovative programme offered by NTU since 2013 to provide students with interdisciplinary training and equip them with practical knowledge and skill sets necessary to dissect and solve real world problems facing political leaders, policymakers, and the global community.

The wealth of PPGA’s course offerings enables students to have a solid foundation in areas of politics, international relations, public administration, and public policy. Students are trained to be thought leaders to confront the problems of today and to design solutions for a sustainable future. Graduates can work in a wide range of professions in the public, private, non-profit sectors, both regionally and globally.",ABC/C,75,3.5,8250,11550,17650,19900,16600,11700,3.5,6
8,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,86.9,70.5,3305,3200,3441,3300,3040,3600,Social Science,"Sociology is the study of social relations, how they are formed and what their consequences are. Sociologists look at how cultures develop, how organizations function (or don’t), and how states and public policies shape ordinary people’s lives.
 
It is the broadest of all social science disciplines, as all spheres of social life—cultural, economic, and political—are open to sociological inquiry. Students learn to analyse social conditions that shape human lives, and confront topical issues in migration, poverty and inequalities, the climate crisis, ethnic relations, the changing face of religiosity, shifts in family forms, aging, mental health, welfare regimes and social policies, and science and technological disruptions.",BBC/C,72.5,3.56,8250,11550,17650,19900,16600,11700,3.5,6
9,Nanyang Technological University,College of Sciences,Biomedical Sciences & Chinese Medicine,95.2,85.7,2964,3000,2979,3000,2780,3200,Healthcare,This innovative “East Meets West” bilingual programme trains students in biomedical sciences research and the principles and practice of Chinese Medicine. This unique five-year double degree programme is an amalgamation of the western approach to Biomedical Sciences with Traditional Chinese Medicine (TCM).,AAA/C,82.5,3.85,8250,11550,17650,28200,24900,20000,5,8
10,Nanyang Technological University,College of Sciences,Mathematical Sciences,91.2,79.6,3741,3549,3848,3599,3215,4070,Science,"Mathematics is a critical tool for understanding and shaping the increasingly complex world around us. Those trained in quantitative methods have an edge in multiple fields of human endeavor including business and finance, information technology, and R&D.

The BSc in Mathematical Sciences degree programme, run by NTU's School of Physical and Mathematical Sciences, offers a rigorous but flexible approach to the mathematics education. All students in the programme receive training in the fundamental subjects of mathematics, such as calculus, statistics, and discrete mathematics. Thereafter, individual students can tailor the curriculum to their interests by choosing one of four tracks of study: Pure Mathematics, Applied Mathematics, Statistics, and Business Analytics.",BCC/B,71.25,3.45,8250,11550,17650,28200,24900,20000,3.5,6
